id,start_time,start_time_local,end_time,end_time_local,duration,distance,user_id,score
166,2016-11-21 22:09:30+00:00,2016-11-21 17:09:30,2016-11-21 23:01:49+00:00,2016-11-21 18:01:49,52.0,38662.7,4,85.66
167,2016-11-25 20:56:36+00:00,2016-11-25 15:56:36,2016-11-25 21:14:54+00:00,2016-11-25 16:14:54,18.0,6419.46,4,66.12
168,2016-11-30 13:08:36+00:00,2016-11-30 08:08:36,2016-11-30 13:20:41+00:00,2016-11-30 08:20:41,12.0,2695.53,4,100.0
169,2016-11-30 13:31:40+00:00,2016-11-30 08:31:40,2016-11-30 13:55:22+00:00,2016-11-30 08:55:22,23.0,22781.5,4,100.0
170,2016-11-17 23:26:43+00:00,2016-11-17 18:26:43,2016-11-17 23:58:47+00:00,2016-11-17 18:58:47,32.0,45860.3,4,80.13
171,2016-11-29 13:42:49+00:00,2016-11-29 08:42:49,2016-11-29 14:22:04+00:00,2016-11-29 09:22:04,39.0,36689.3,4,74.53
172,2016-11-30 14:11:37+00:00,2016-11-30 09:11:37,2016-11-30 14:25:45+00:00,2016-11-30 09:25:45,14.0,24047.4,4,64.63
173,2016-11-26 22:44:06+00:00,2016-11-26 17:44:06,2016-11-26 23:17:38+00:00,2016-11-26 18:17:38,33.0,36532.9,4,100.0
174,2016-11-22 23:05:59+00:00,2016-11-22 18:05:59,2016-11-22 23:52:46+00:00,2016-11-22 18:52:46,46.0,42573.9,4,94.66
175,2016-11-28 17:56:13+00:00,2016-11-28 12:56:13,2016-11-28 18:21:08+00:00,2016-11-28 13:21:08,24.0,33997.7,4,89.97
176,2016-11-28 19:55:25+00:00,2016-11-28 14:55:25,2016-11-28 20:21:36+00:00,2016-11-28 15:21:36,26.0,34880.7,4,42.18
177,2016-11-29 23:15:39+00:00,2016-11-29 18:15:39,2016-11-29 23:58:00+00:00,2016-11-29 18:58:00,42.0,41661.7,4,76.38
178,2016-11-11 23:11:20+00:00,2016-11-11 18:11:20,2016-11-11 23:41:09+00:00,2016-11-11 18:41:09,29.0,41444.5,4,41.31
179,2016-11-14 23:46:26+00:00,2016-11-14 18:46:26,2016-11-15 00:24:06+00:00,2016-11-14 19:24:06,37.0,45821.5,4,63.21
180,2016-11-16 23:53:43+00:00,2016-11-16 18:53:43,2016-11-17 00:26:49+00:00,2016-11-16 19:26:49,33.0,45828.5,4,46.94
181,2016-11-19 23:53:14+00:00,2016-11-19 18:53:14,2016-11-20 00:31:03+00:00,2016-11-19 19:31:03,37.0,23467.3,4,86.78
182,2016-11-18 22:59:36+00:00,2016-11-18 17:59:36,2016-11-19 01:40:27+00:00,2016-11-18 20:40:27,160.0,138228.0,4,91.48
183,2016-11-23 00:29:17+00:00,2016-11-22 19:29:17,2016-11-23 00:40:56+00:00,2016-11-22 19:40:56,11.0,1986.51,4,100.0
184,2016-11-23 23:05:39+00:00,2016-11-23 18:05:39,2016-11-23 23:58:45+00:00,2016-11-23 18:58:45,53.0,40578.1,4,62.33
185,2016-11-26 00:28:59+00:00,2016-11-25 19:28:59,2016-11-26 00:55:07+00:00,2016-11-25 19:55:07,26.0,26640.3,4,100.0
186,2016-11-27 00:01:03+00:00,2016-11-26 19:01:03,2016-11-27 00:15:41+00:00,2016-11-26 19:15:41,14.0,8216.2,4,100.0
187,2016-11-27 01:38:28+00:00,2016-11-26 20:38:28,2016-11-27 02:19:25+00:00,2016-11-26 21:19:25,40.0,54391.9,5,75.09
188,2016-11-19 14:38:36+00:00,2016-11-19 09:38:36,2016-11-19 15:07:06+00:00,2016-11-19 10:07:06,28.0,13935.1,5,95.79
189,2016-11-19 16:04:07+00:00,2016-11-19 11:04:07,2016-11-19 16:24:14+00:00,2016-11-19 11:24:14,20.0,13687.6,5,100.0
